N = 192 
frequency = 128 
time = 1.5 
0.29,0.276,0.215,0.146,0.119,0.154,0.224,0.275,0.269,0.216,0.164,0.157,0.2,0.254,0.267,0.223,0.147,0.09,0.081,0.107,0.126,0.102,0.037,-0.036,-0.08,-0.09,-0.091,-0.114,-0.167,-0.224,-0.254,-0.248,-0.235,-0.262,-0.362,-0.532,-0.74,-0.955,-1.164,-1.365,-1.547,-1.671,-1.69,-1.576,-1.348,-1.068,-0.798,-0.566,-0.352,-0.12,0.144,0.407,0.611,0.717,0.738,0.73,0.752,0.823,0.912,0.968,0.966,0.921,0.879,0.874,0.903,0.933,0.93,0.885,0.818,0.757,0.713,0.671,0.606,0.503,0.368,0.218,0.066,-0.083,-0.231,-0.37,-0.494,-0.605,-0.723,-0.872,-1.051,-1.211,-1.27,-1.165,-0.894,-0.54,-0.214,0.009,0.142,0.265,0.447,0.673,0.83,0.778,0.46,-0.038,-0.515,-0.773,-0.732,-0.481,-0.211,-0.093,-0.171,-0.353,-0.484,-0.455,-0.264,-0.005,0.209,0.313,0.318,0.284,0.264,0.27,0.281,0.266,0.216,0.152,0.105,0.098,0.128,0.177,0.218,0.232,0.215,0.176,0.136,0.115,0.125,0.163,0.211,0.245,0.248,0.225,0.193,0.175,0.182,0.205,0.224,0.225,0.207,0.184,0.172,0.177,0.192,0.203,0.201,0.189,0.173,0.16,0.151,0.143,0.136,0.129,0.125,0.12,0.105,0.071,0.02,-0.035,-0.077,-0.098,-0.099,-0.094,-0.097,-0.113,-0.138,-0.172,-0.22,-0.3,-0.43,-0.614,-0.835,-1.062,-1.258,-1.4,-1.475,-1.487,-1.44,-1.34,-1.186,-0.98,-0.726,-0.443,-0.155,0.109,0.324,0.48
0.408,0.28,0.177,0.174,0.249,0.312,0.29,0.196,0.113,0.116,0.202,0.288,0.285,0.174,0.028,-0.049,-0.009,0.106,0.204,0.224,0.18,0.144,0.171,0.244,0.287,0.236,0.098,-0.046,-0.111,-0.071,0.016,0.062,0.024,-0.062,-0.111,-0.058,0.09,0.262,0.384,0.424,0.411,0.391,0.399,0.439,0.506,0.593,0.689,0.759,0.741,0.586,0.31,0.015,-0.152,-0.093,0.167,0.495,0.734,0.814,0.792,0.791,0.893,1.067,1.194,1.17,0.99,0.758,0.598,0.562,0.599,0.61,0.546,0.444,0.393,0.442,0.552,0.628,0.595,0.459,0.289,0.138,-0.01,-0.22,-0.527,-0.877,-1.151,-1.269,-1.282,-1.345,-1.594,-2.007,-2.389,-2.513,-2.322,-2.015,-1.919,-2.214,-2.727,-2.974,-2.462,-1.065,0.808,2.396,3.015,2.463,1.13,-0.254,-1.061,-1.089,-0.596,-0.046,0.213,0.128,-0.111,-0.274,-0.259,-0.13,-0.013,0.022,0.003,0.011,0.091,0.22,0.331,0.375,0.357,0.315,0.28,0.25,0.207,0.148,0.099,0.099,0.161,0.253,0.326,0.344,0.313,0.271,0.252,0.258,0.27,0.271,0.262,0.262,0.281,0.303,0.294,0.238,0.15,0.072,0.039,0.048,0.064,0.053,0.017,-0.004,0.035,0.136,0.256,0.328,0.32,0.255,0.19,0.169,0.188,0.202,0.169,0.095,0.026,0.012,0.058,0.12,0.138,0.096,0.037,0.038,0.139,0.309,0.457,0.495,0.407,0.265,0.182,0.238,0.428,0.665,0.835,0.862,0.742,0.534,0.317,0.154
