N = 512
frequency = 128.0
time = 4.0
-0.1758671226,-0.2271617,-0.2564728872,-0.2711284807,-0.2711284807,-0.2589154861,-0.2467024915,-0.2344894968,-0.229604299,-0.2393746947,-0.2467024915,-0.2564728872,-0.2344894968,-0.2271617,-0.2051783097,-0.1880801172,-0.1807523205,-0.1709819248,-0.1685393258,-0.1685393258,-0.1807523205,-0.2173913043,-0.229604299,-0.2393746947,-0.2271617,-0.2222765022,-0.2222765022,-0.2100635076,-0.2002931119,-0.2002931119,-0.2173913043,-0.2344894968,-0.2418172936,-0.2173913043,-0.1880801172,-0.1758671226,-0.1978505129,-0.2173913043,-0.2467024915,-0.2711284807,-0.2882266732,-0.3004396678,-0.2882266732,-0.2808988764,-0.2711284807,-0.2711284807,-0.2711284807,-0.2808988764,-0.2808988764,-0.2686858818,-0.2515876893,-0.2344894968,-0.2222765022,-0.2125061065,-0.2100635076,-0.2100635076,-0.2051783097,-0.2051783097,-0.1929653151,-0.1880801172,-0.1929653151,-0.1807523205,-0.1709819248,-0.1538837323,-0.1416707377,-0.1392281387,-0.1392281387,-0.1416707377,-0.1514411334,-0.1538837323,-0.1587689301,-0.163654128,-0.163654128,-0.1587689301,-0.1685393258,-0.1538837323,-0.1538837323,-0.1465559355,-0.1465559355,-0.1392281387,-0.1392281387,-0.1392281387,-0.1343429409,-0.129457743,-0.1221299463,-0.1123595506,-0.1099169516,-0.1050317538,-0.0952613581,-0.0952613581,-0.1050317538,-0.0928187592,-0.0879335613,-0.0757205667,-0.0586223742,-0.0512945774,-0.0366389839,-0.0293111871,-0.0170981925,-0.0048851979,-0.0122129946,-0.0219833903,-0.0219833903,-0.0219833903,-0.0293111871,-0.0464093796,-0.0537371764,-0.0586223742,-0.0757205667,-0.0806057645,-0.0806057645,-0.0830483635,-0.0952613581,-0.1245725452,-0.1514411334,-0.163654128,-0.163654128,-0.1221299463,-0.1221299463,-0.129457743,-0.1514411334,-0.1416707377,-0.1123595506,-0.1001465559,-0.0928187592,-0.1343429409,-0.1245725452,-0.1221299463,-0.1343429409,-0.1245725452,-0.1172447484,-0.1123595506,-0.1123595506,-0.1343429409,-0.163654128,-0.1831949194,-0.1978505129,-0.2002931119,-0.1978505129,-0.2002931119,-0.2002931119,-0.2002931119,-0.1929653151,-0.1807523205,-0.1709819248,-0.1587689301,-0.1538837323,-0.1587689301,-0.163654128,-0.1685393258,-0.1587689301,-0.1538837323,-0.1587689301,-0.1685393258,-0.1709819248,-0.1758671226,-0.1880801172,-0.2125061065,-0.2222765022,-0.2271617,-0.2271617,-0.2271617,-0.2271617,-0.229604299,-0.2418172936,-0.2418172936,-0.2467024915,-0.2564728872,-0.2467024915,-0.2467024915,-0.2344894968,-0.2515876893,-0.2515876893,-0.2564728872,-0.2589154861,-0.2686858818,-0.2808988764,-0.2808988764,-0.2760136786,-0.2589154861,-0.2467024915,-0.2418172936,-0.2344894968,-0.2418172936,-0.2467024915,-0.2467024915,-0.2467024915,-0.229604299,-0.2271617,-0.2100635076,-0.2051783097,-0.1880801172,-0.1807523205,-0.1709819248,-0.1538837323,-0.1392281387,-0.1221299463,-0.1050317538,-0.0879335613,-0.0708353688,-0.0635075721,-0.0586223742,-0.0512945774,-0.0464093796,-0.0635075721,-0.0708353688,-0.0757205667,-0.0879335613,-0.0952613581,-0.1050317538,-0.1172447484,-0.129457743,-0.1343429409,-0.1392281387,-0.1343429409,-0.1221299463,-0.1123595506,-0.0928187592,-0.0928187592,-0.0830483635,-0.0708353688,-0.0708353688,-0.0708353688,-0.0635075721,-0.0537371764,-0.0537371764,-0.0537371764,-0.0512945774,-0.0415241817,-0.0464093796,-0.0366389839,-0.0366389839,-0.0293111871,-0.0244259893,-0.0219833903,-0.0170981925,-0.0219833903,-0.0170981925,-0.0219833903,-0.0122129946,-0.0170981925,-0.0244259893,-0.034196385,-0.0415241817,-0.0415241817,-0.0512945774,-0.0757205667,-0.1123595506,-0.1758671226,-0.1758671226,-0.1880801172,-0.1978505129,-0.1587689301,-0.1343429409,-0.129457743,-0.1465559355,-0.1343429409,-0.1245725452,-0.1392281387,-0.1587689301,-0.1758671226,-0.1709819248,-0.1685393258,-0.1758671226,-0.1709819248,-0.163654128,-0.1685393258,-0.1807523205,-0.1807523205,-0.1880801172,-0.1929653151,-0.2100635076,-0.2271617,-0.1978505129,-0.2051783097,-0.229604299,-0.2467024915,-0.2418172936,-0.2344894968,-0.2344894968,-0.2467024915,-0.2638006839,-0.2711284807,-0.2857840743,-0.2760136786,-0.2638006839,-0.229604299,-0.1880801172,-0.1514411334,-0.1221299463,-0.1050317538,-0.1050317538,-0.1099169516,-0.1245725452,-0.1343429409,-0.1538837323,-0.1709819248,-0.1978505129,-0.2173913043,-0.2393746947,-0.2393746947,-0.2467024915,-0.2467024915,-0.2344894968,-0.2222765022,-0.2051783097,-0.1978505129,-0.1978505129,-0.1929653151,-0.1831949194,-0.1831949194,-0.1807523205,-0.1807523205,-0.1880801172,-0.1978505129,-0.2002931119,-0.2002931119,-0.1978505129,-0.2002931119,-0.2125061065,-0.2222765022,-0.2271617,-0.2271617,-0.2125061065,-0.1929653151,-0.1880801172,-0.2100635076,-0.2393746947,-0.2344894968,-0.2173913043,-0.1807523205,-0.1831949194,-0.2051783097,-0.2173913043,-0.2100635076,-0.1709819248,-0.1709819248,-0.1538837323,-0.129457743,-0.1050317538,-0.1050317538,-0.1221299463,-0.1245725452,-0.1221299463,-0.1172447484,-0.1099169516,-0.1392281387,-0.1245725452,-0.1416707377,-0.1465559355,-0.1465559355,-0.1416707377,-0.1465559355,-0.1392281387,-0.1392281387,-0.1709819248,-0.2002931119,-0.2051783097,-0.1929653151,-0.1758671226,-0.1416707377,-0.1245725452,-0.1099169516,-0.1050317538,-0.0952613581,-0.0879335613,-0.0806057645,-0.0806057645,-0.0757205667,-0.0757205667,-0.065950171,-0.065950171,-0.0708353688,-0.0708353688,-0.0757205667,-0.0537371764,-0.034196385,-0.0170981925,-0.0122129946,-0.0219833903,-0.0244259893,-0.0366389839,-0.0512945774,-0.0635075721,-0.0586223742,-0.0806057645,-0.0952613581,-0.1123595506,-0.1343429409,-0.1758671226,-0.2051783097,-0.2686858818,-0.3053248657,-0.293111871,-0.3053248657,-0.2760136786,-0.2271617,-0.2002931119,-0.1978505129,-0.2051783097,-0.1978505129,-0.1831949194,-0.163654128,-0.1587689301,-0.1465559355,-0.1929653151,-0.1587689301,-0.1709819248,-0.2344894968,-0.2564728872,-0.2467024915,-0.2515876893,-0.2589154861,-0.2711284807,-0.2808988764,-0.2808988764,-0.2857840743,-0.2882266732,-0.2882266732,-0.2882266732,-0.2638006839,-0.2418172936,-0.229604299,-0.2271617,-0.2222765022,-0.2100635076,-0.1978505129,-0.1880801172,-0.1807523205,-0.1831949194,-0.1880801172,-0.2002931119,-0.2100635076,-0.2271617,-0.2271617,-0.2344894968,-0.229604299,-0.2418172936,-0.2393746947,-0.2344894968,-0.2344894968,-0.2344894968,-0.2271617,-0.229604299,-0.2222765022,-0.2125061065,-0.2173913043,-0.2271617,-0.2467024915,-0.2686858818,-0.2760136786,-0.2760136786,-0.2589154861,-0.2467024915,-0.2271617,-0.2271617,-0.2271617,-0.2271617,-0.2344894968,-0.2393746947,-0.2393746947,-0.229604299,-0.2222765022,-0.2100635076,-0.2002931119,-0.1978505129,-0.2100635076,-0.2125061065,-0.2125061065,-0.2100635076,-0.1978505129,-0.1587689301,-0.1514411334,-0.1392281387,-0.1392281387,-0.1392281387,-0.1392281387,-0.1416707377,-0.1416707377,-0.1416707377,-0.1587689301,-0.1685393258,-0.1758671226,-0.1758671226,-0.1709819248,-0.163654128,-0.1465559355,-0.1343429409,-0.1245725452,-0.1123595506,-0.1172447484,-0.1099169516,-0.1001465559,-0.0952613581,-0.0757205667,-0.0708353688,-0.0586223742,-0.0464093796,-0.0512945774,-0.0415241817,-0.0512945774,-0.0512945774,-0.0537371764,-0.0537371764,-0.0586223742,-0.0586223742,-0.0586223742,-0.0415241817,-0.0415241817,-0.0464093796,-0.0464093796,-0.0415241817
